id_proyecto,tipo_proyecto,nivel_riesgo
PRJ_001,Humanos,Completa
PRJ_002,Humanos,Parcial
PRJ_003,Otros,Completa
PRJ_004,Humanos,Exonerada
PRJ_005,Animales,Completa
PRJ_006,Otros,Parcial
PRJ_007,Humanos,Completa
PRJ_008,Otros,Exonerada
PRJ_009,Animales,Completa
PRJ_010,Animales,Parcial
PRJ_011,Humanos,Parcial
PRJ_012,Humanos,Exonerada
PRJ_013,Humanos,Parcial
PRJ_014,Otros,Completa
PRJ_015,Humanos,Completa
PRJ_016,Humanos,Parcial
PRJ_017,Animales,Completa
PRJ_018,Humanos,Exonerada
PRJ_019,Animales,Completa
PRJ_020,Otros,Exonerada
PRJ_021,Humanos,Parcial
PRJ_022,Humanos,Completa
PRJ_023,Humanos,Completa
PRJ_024,Animales,Parcial
PRJ_025,Humanos,Parcial
PRJ_026,Otros,Parcial
PRJ_027,Humanos,Completa
PRJ_028,Humanos,Completa
PRJ_029,Animales,Completa
PRJ_030,Animales,Parcial
PRJ_031,Otros,Exonerada
PRJ_032,Animales,Parcial
PRJ_033,Animales,Parcial
PRJ_034,Animales,Completa
PRJ_035,Humanos,Completa
PRJ_036,Animales,Parcial
PRJ_037,Animales,Exonerada
PRJ_038,Animales,Parcial
PRJ_039,Humanos,Completa
PRJ_040,Animales,Parcial
PRJ_041,Otros,Parcial
PRJ_042,Humanos,Parcial
PRJ_043,Humanos,Exonerada
PRJ_044,Humanos,Exonerada
PRJ_045,Humanos,Completa
PRJ_046,Humanos,Parcial
PRJ_047,Animales,Exonerada
PRJ_048,Animales,Parcial
PRJ_049,Otros,Exonerada
PRJ_050,Humanos,Exonerada
PRJ_051,Humanos,Parcial
PRJ_052,Otros,Parcial
PRJ_053,Humanos,Exonerada
PRJ_054,Animales,Parcial
PRJ_055,Humanos,Exonerada
PRJ_056,Animales,Completa
PRJ_057,Otros,Parcial
PRJ_058,Animales,Parcial
PRJ_059,Humanos,Completa
PRJ_060,Animales,Completa
PRJ_061,Animales,Parcial
PRJ_062,Animales,Parcial
PRJ_063,Animales,Parcial
PRJ_064,Humanos,Parcial
PRJ_065,Otros,Exonerada
PRJ_066,Animales,Parcial
PRJ_067,Humanos,Parcial
PRJ_068,Otros,Exonerada
PRJ_069,Humanos,Exonerada
PRJ_070,Humanos,Parcial
PRJ_071,Animales,Parcial
PRJ_072,Humanos,Completa
PRJ_073,Animales,Completa
PRJ_074,Animales,Parcial
PRJ_075,Humanos,Parcial
PRJ_076,Animales,Parcial
PRJ_077,Humanos,Parcial
PRJ_078,Humanos,Completa
PRJ_079,Otros,Exonerada
PRJ_080,Animales,Parcial
PRJ_081,Humanos,Completa
PRJ_082,Otros,Exonerada
PRJ_083,Animales,Parcial
PRJ_084,Otros,Exonerada
PRJ_085,Humanos,Parcial
PRJ_086,Humanos,Completa
PRJ_087,Humanos,Exonerada
PRJ_088,Otros,Exonerada
PRJ_089,Otros,Exonerada
PRJ_090,Humanos,Completa
PRJ_091,Animales,Parcial
PRJ_092,Otros,Exonerada
PRJ_093,Animales,Completa
PRJ_094,Humanos,Completa
PRJ_095,Animales,Parcial
PRJ_096,Otros,Exonerada
PRJ_097,Otros,Exonerada
PRJ_098,Animales,Completa
PRJ_099,Otros,Exonerada
PRJ_100,Humanos,Completa
PRJ_101,Otros,Exonerada
PRJ_102,Humanos,Parcial
PRJ_103,Otros,Exonerada
PRJ_104,Humanos,Completa
PRJ_105,Humanos,Completa
PRJ_106,Animales,Parcial
PRJ_107,Animales,Parcial
PRJ_108,Animales,Completa
PRJ_109,Animales,Parcial
PRJ_110,Animales,Completa
PRJ_111,Otros,Exonerada
PRJ_112,Animales,Completa
PRJ_113,Humanos,Parcial
PRJ_114,Animales,Completa
PRJ_115,Otros,Exonerada
PRJ_116,Humanos,Exonerada
PRJ_117,Humanos,Parcial
PRJ_118,Humanos,Completa
PRJ_119,Otros,Exonerada
PRJ_120,Animales,Parcial
PRJ_121,Animales,Completa
PRJ_122,Animales,Parcial
PRJ_123,Humanos,Parcial
PRJ_124,Otros,Exonerada
PRJ_125,Otros,Exonerada
PRJ_126,Otros,Exonerada
PRJ_127,Humanos,Parcial
PRJ_128,Humanos,Completa
PRJ_129,Animales,Exonerada
PRJ_130,Otros,Completa
PRJ_131,Humanos,Parcial
PRJ_132,Animales,Parcial
PRJ_133,Animales,Parcial
PRJ_134,Animales,Parcial
PRJ_135,Animales,Completa
PRJ_136,Animales,Exonerada
PRJ_137,Animales,Parcial
PRJ_138,Humanos,Parcial
PRJ_139,Humanos,Completa
PRJ_140,Humanos,Exonerada
PRJ_141,Animales,Parcial
PRJ_142,Humanos,Completa
PRJ_143,Humanos,Completa
PRJ_144,Humanos,Completa
PRJ_145,Otros,Exonerada
PRJ_146,Humanos,Completa
PRJ_147,Animales,Parcial
PRJ_148,Otros,Exonerada
PRJ_149,Animales,Completa
PRJ_150,Animales,Exonerada
